iteration	particle_num	MCS_value	fitness_value	original_fitness_value
47	k	0.935	1381.89	1178.56
47	l	0.92	1623.77	1178.06
47	m	0.927	1506.57	1179.1
47	n	0.932	1425.19	1177.06
47	o	0.941	1300.44	1182.36
48	a	0.933	1411.71	1178.49
48	b	0.946	1228.51	1177.76
48	c	0.938	1340.1	1180.13
48	d	0.927	1506.56	1179.09
48	e	0.939	1323.67	1178.15
48	f	0.94	1310.58	1178.98
48	g	0.942	1284.27	1180.13
48	h	0.934	1398.59	1180.11
48	i	0.959	1178.66	1178.66
48	j	0.93	1457.06	1177.79
48	k	0.939	1324.17	1178.59
48	l	0.942	1282.02	1178.06
48	m	0.927	1506.15	1178.77
48	n	0.939	1322.55	1177.15
48	o	0.952	1183.83	1183.83
49	a	0.927	1505.61	1178.35
49	b	0.939	1323.73	1178.2
49	c	0.946	1230.62	1179.78
49	d	0.94	1310.79	1179.17
49	e	0.941	1296.86	1179.1
49	f	0.944	1255.94	1178.83
49	g	0.94	1311.6	1179.9
49	h	0.939	1325.52	1179.79
49	i	0.918	1659.93	1178.37
49	j	0.929	1472.9	1177.86
49	k	0.935	1382.23	1178.85
49	l	0.933	1411.26	1178.11
49	m	0.928	1489.82	1178.63
49	n	0.929	1472.99	1177.93
49	o	0.937	1357.3	1182.59
50	a	0.945	1241.97	1178.13
50	b	0.945	1242.05	1178.21
50	c	0.945	1242.71	1178.83
50	d	0.929	1473.59	1178.42
50	e	0.944	1257.53	1180.32
50	f	0.94	1310.12	1178.57
50	g	0.935	1383.57	1180
50	h	0.931	1445.16	1180.8
50	i	0.925	1538.38	1178.27
50	j	0.929	1473.12	1178.04
50	k	0.931	1442.91	1178.96
50	l	0.945	1241.95	1178.11
50	m	0.94	1310.84	1179.21
50	n	0.929	1474.08	1178.8
50	o	0.943	1269.57	1179.06
51	a	0.934	1396.11	1178.02
51	b	0.947	1216.07	1178.21
51	c	0.932	1427.27	1178.77
51	d	0.934	1396.75	1178.56
51	e	0.943	1269.6	1179.09
51	f	0.939	1324.13	1178.56
51	g	0.941	1298.14	1180.27
51	h	0.942	1285.25	1181.03
51	i	0.936	1366.91	1178.31
51	j	0.938	1337.74	1178.05
51	k	0.939	1324.27	1178.68
51	l	0.935	1381.31	1178.07
51	m	0.942	1283.18	1179.13
51	n	0.938	1339.51	1179.61
51	o	0.946	1229.56	1178.76
52	a	0.93	1457.46	1178.12
52	b	0.935	1381.27	1178.03
52	c	0.94	1310.27	1178.7
52	d	0.957	1179.51	1179.51
52	e	0.94	1310.06	1178.51
