iteration	particle_num	MCS_value	fitness_value	original_fitness_value
10	69	0.989	inf	inf
10	70	0.993	inf	inf
10	71	0.993	inf	inf
10	72	0.989	inf	inf
10	73	0.982	6520.3	6520.3
10	74	0.977	6492.13	6492.13
10	75	0.973	inf	inf
10	76	0.986	inf	inf
10	77	0.982	inf	inf
10	78	0.971	inf	inf
10	79	0.99	inf	inf
11	0	0.976	6408.89	6408.89
11	1	0.979	6431.67	6431.67
11	2	0.978	inf	inf
11	3	0.985	inf	inf
11	4	0.981	inf	inf
11	5	0.982	6429.3	6429.3
11	6	0.989	6482.54	6482.54
11	7	0.976	6480.34	6480.34
11	8	0.977	6438.29	6438.29
11	9	0.98	inf	inf
11	10	0.979	6530.47	6530.47
11	11	0.989	inf	inf
11	12	0.978	6505.84	6505.84
11	13	0.982	6489.84	6489.84
11	14	0.988	6471.47	6471.47
11	15	0.983	6492.14	6492.14
11	16	0.983	6462.22	6462.22
11	17	0.983	6443.21	6443.21
11	18	0.967	6473.34	6473.34
11	19	0.983	6465.87	6465.87
11	20	0.97	6441.89	6441.89
11	21	0.977	6454.41	6454.41
11	22	0.984	inf	inf
11	23	0.985	inf	inf
11	24	0.976	6501.52	6501.52
11	25	0.99	6508.04	6508.04
11	26	0.988	6462.77	6462.77
11	27	0.982	6449.55	6449.55
11	28	0.972	6487.87	6487.87
11	29	0.968	6445.53	6445.53
11	30	0.981	6492.01	6492.01
11	31	0.984	inf	inf
11	32	0.982	6462.8	6462.8
11	33	0.984	6506.83	6506.83
11	34	0.986	6482.14	6482.14
11	35	0.972	6429.28	6429.28
11	36	0.977	inf	inf
11	37	0.982	6454.15	6454.15
11	38	0.972	6536.13	6536.13
11	39	0.983	6450.5	6450.5
11	40	0.984	6480.22	6480.22
11	41	0.984	inf	inf
11	42	0.985	6499.03	6499.03
11	43	0.973	inf	inf
11	44	0.977	inf	inf
11	45	0.964	6417.89	6417.89
11	46	0.978	6447.6	6447.6
11	47	0.962	6449.74	6449.74
11	48	0.984	6509.6	6509.6
11	49	0.984	inf	inf
11	50	0.973	6469.06	6469.06
11	51	0.993	6567.14	6567.14
11	52	0.968	6423.63	6423.63
11	53	0.978	6497.43	6497.43
